This is the data file for OSRIC™.  This consists of creatures and treasure from the core rulebook and Monsters of Myth™.
You can use this with some of the tools here that allow for data files to be input. You may only want to use 
this file if you want to customize your creations. You may have no electrum in your land or maybe you want to 
remove the chance of dinosaurs from appearing. You may want to add custom monsters and items. Anything is possible.

This is published under the Open Game License Version 1.0a (which can be found at http://www.wizardawn.com/rpg/lic_ogl.html)
and is in compliance with the OSRIC™ Open License (which can be found at http://www.wizardawn.com/rpg/lic_osric.html).

"OSRIC", "Osric" and "O.S.R.I.C." are trademarks of Matthew Finch and Stuart Marshall
"Monsters of Myth" is a trademark of Matthew Finch

Below are the codes used for the creatures' terrain types...

DG = Dungeon
PF = Forest
PH = Hills
PM = Mountains
PP = Plains
PS = Swamp
PD = Desert
FW = Freshwater
SW = Sea
CF = Snowy Forest
CH = Snowy Hills
CM = Snowy Mountains
CP = Snowy Plains
TF = Jungle/Tropics Forest
TH = Jungle/Tropics Hills
TM = Jungle/Tropics Mountains
TS = Jungle/Tropics Swamp

--BEGIN--
ACHAIERAI	PFXPHXPMXPSXTFXTHXTMXTS	14	1	Freq: Very Rare; #ENC: 1d8; SIZE: Large (16 ft tall); MOVE: 180 ft; AC: 8 or -1 (see page); HD: 40 hp (body), 15 hp (each leg); ATK: 3; DMG: 1d8/1d8/1d10; SA: None; SD: Poison cloud; MR: 35%; LAIR: None; INT: Average; AL: CE; XP: 2,750; TRS: 1d10x1,000 cp (5%), 1d12x1,000 sp (25%), 1d6x1,000 ep (25%), 1d8x1,000 gp (25%), 1d12 gems (15%), 1d8 jewelry (10%) and 3 magic items and 1 scroll (25%).; BOOK: OSRIC-259
AERIAL SERVANT	X	17	1	Freq: Very Rare; #ENC: 1; SIZE: Large (8 ft tall); MOVE: 240 ft flying (AA: level VI); AC: 3; HD: 16; ATK: 1; DMG: 8d4; SA: 66% chance of surprise; SD: +1 or better weapon to hit; MR: Standard; LAIR: None; INT: Semi-; AL: N; XP: 5,250+20/hp; TRS: None; BOOK: OSRIC-259
AFREET	DG	11	1	Freq: Very Rare; #ENC: 1; SIZE: Large; MOVE: 90 ft, 240 ft flying (AA: level V); AC: 2; HD: 10; ATK: 1; DMG: 3d8; SA: See Page; SD: None; MR: Standard; LAIR: None; INT: Very; AL: LE; XP: 7,000+12/hp; TRS: None; BOOK: OSRIC-259
AL-MI`RAJ	DGXPFXPP	2	1	Freq: Very Rare; #ENC: 2d10; SIZE: Small; MOVE: 180 ft; AC: 7; HD: 1; ATK: 1; DMG: 1d4; SA: None; SD: None; MR: See Page; LAIR: 5%; INT: Animal; AL: N; XP: 5+1/hp; TRS: None; BOOK: OSRIC-260
ALBERTOSAURUS	TMXTHXTFXTS	9	13	Freq: Common; #ENC: 1 or 4d6; SIZE: Large; MOVE: 150 ft; AC: 7; HD: 8; ATK: 1; DMG: 2d6; SA: None; SD: None; MR: Standard; LAIR: 15%; INT: Animal; AL: N; XP: 500+8/hp; TRS: None; BOOK: OSRIC-227
ALLOSAURUS	TMXTHXTFXTS	16	5	Freq: Uncommon; #ENC: 1 or 2d8; SIZE: Large; MOVE: 150 ft; AC: 6; HD: 15; ATK: 1; DMG: 3d6; SA: None; SD: None; MR: Standard; LAIR: 15%; INT: Animal; AL: N; XP: 1,750+18/hp; TRS: None; BOOK: OSRIC-227
AMBER CREEPING VINE	DG	4	3	Freq: Rare; #ENC: 1; SIZE: Large; MOVE: None; AC: 7; HD: 3; ATK: See Page; DMG: Special; SA: None; SD: None; MR: Standard; LAIR: 100%; INT: Non-; AL: N; XP: 75+3/hp; TRS: Gear from victims, buried under the soil; BOOK: OSRIC-260
AMBER CREEPING VINE ZOMBIE	DG	3	3	Freq: Rare; #ENC: 1d2; SIZE: Medium; MOVE: See Page; AC: See Page; HD: 2; ATK: 1; DMG: By weapon type; SA: None; SD: None; MR: See Page; LAIR: None; INT: Non-; AL: N; XP: 40+2/hp; TRS: Any gear on body; BOOK: OSRIC-260
ANKHEG	DG	8	3	Freq: Rare; #ENC: 1d6; SIZE: Large (10 ft+); MOVE: 120 ft, 60 ft burrowing; AC: 2; HD: 3 to 8; ATK: 1; DMG: 3d6; SA: Squirt acid; SD: None; MR: Standard; LAIR: 15%; INT: Non-; AL: N; XP: Varies; TRS: None; BOOK: OSRIC-261
ANKLYOSAURUS	TMXTHXTFXTS	10	5	Freq: Uncommon; #ENC: 1d4+1; SIZE: Large; MOVE: 60 ft; AC: 0; HD: 9; ATK: 1; DMG: 3d6; SA: None; SD: None; MR: Standard; LAIR: None; INT: Animal; AL: N; XP: 750+12/hp; TRS: None; BOOK: OSRIC-229
ANNIS	CFXCMXDGXPFXPMXPS	10	1	Freq: Very Rare; #ENC: 1d3; SIZE: Large (8 ft approx); MOVE: 150 ft; AC: 0; HD: 9; ATK: 3; DMG: 1d8+8/1d8+8/1d8+1; SA: See Page; SD: Immune to illusions; MR: Standard; LAIR: 20%; INT: Average to exceptional; AL: CE; XP: 1,200+10/hp; TRS: (in lair) 1d20x1,000 cp (25%), 1d8x1,000 sp (35%), 1d6x1,000 ep (10%), 1d6x1,000 gp (40%), 1d8 gems (30%), 1d6 jewelry (25%), any 2 magic items and one potion (15%).; BOOK: OSRIC-261
ANT, GIANT QUEEN	DG	11	1	Freq: Very Rare; #ENC: 1; SIZE: Large; MOVE: None; AC: 4; HD: 10; ATK: None; DMG: None; SA: None; SD: None; MR: Standard; LAIR: 100%; INT: Animal; AL: N; XP: 700+13/hp; TRS: (In lair only) 3d4 gems (50%); 2d4 potions (40%).; BOOK: OSRIC-261
ANT, GIANT SOLDIER	DGXPFXPHXPPXTFXTH	4	1	Freq: Very Rare; #ENC: Varies; SIZE: Small; MOVE: 180 ft; AC: 3; HD: 3; ATK: 2; DMG: 2d4/3d4; SA: Poison; SD: None; MR: Standard; LAIR: 10%; INT: Animal; AL: N; XP: 50+2/hp; TRS: (In lair only) 3d4 gems (50%); 2d4 potions (40%).; BOOK: OSRIC-261
ANT, GIANT WORKER	DGXPFXPHXPPXTFXTH	3	3	Freq: Rare; #ENC: 1d100; SIZE: Small; MOVE: 180 ft; AC: 3; HD: 2; ATK: 1; DMG: 1d6; SA: None; SD: None; MR: Standard; LAIR: 10%; INT: Animal; AL: N; XP: 30+1/hp; TRS: (In lair only) 3d4 gems (50%); 2d4 potions (40%).; BOOK: OSRIC-261
APATOSAURUS	TMXTHXTFXTS	21	13	Freq: Common; #ENC: 4d10; SIZE: Large; MOVE: 90 ft; AC: 7; HD: 30; ATK: 1; DMG: 1d10; SA: None; SD: None; MR: Standard; LAIR: None; INT: Animal; AL: N; XP: 2,500+35/hp; TRS: None; BOOK: OSRIC-228
APE, CARNIVOROUS	DGXTFXTHXTS	6	1	Freq: Very Rare; #ENC: 2d4; SIZE: Large; MOVE: 120 ft; AC: 6; HD: 5; ATK: 3; DMG: 1d4/1d4/1d8; SA: Mangle; SD: None; MR: Standard; LAIR: 10%; INT: Low; AL: N; XP: 125+4/hp; TRS: None; BOOK: OSRIC-245
APE, NORMAL	TF	6	3	Freq: Rare; #ENC: 1d4; SIZE: Medium; MOVE: 120 ft; AC: 6; HD: 4+1; ATK: 3; DMG: 1d3/1d3/1d6; SA: Mangle; SD: None; MR: Standard; LAIR: None; INT: Low; AL: N; XP: 110+4/hp; TRS: None; BOOK: OSRIC-245
ARCHAEOPTERYX	TMXTHXTFXTS	0	5	Freq: Uncommon; #ENC: 4d12; SIZE: Small; MOVE: 300 ft flying, (AA: lvl IV); AC: 10; HD: 1d2 hp; ATK: 1; DMG: 1d2; SA: None; SD: None; MR: Standard; LAIR: None; INT: Animal; AL: N; XP: 5+1/hp; TRS: None; BOOK: OSRIC-231
ARCHELON	FWXSW	8	5	Freq: Uncommon; #ENC: 1d4; SIZE: Large; MOVE: 150 ft swimming; AC: 3; HD: 7; ATK: 1; DMG: 3d4; SA: None; SD: None; MR: Standard; LAIR: None; INT: Animal; AL: N; XP: 475+10/hp; TRS: None; BOOK: OSRIC-230
ARGENTINOSAURUS	TMXTHXTFXTS	21	5	Freq: Uncommon; #ENC: 4d6; SIZE: Large; MOVE: 90 ft; AC: 7; HD: 38; ATK: 1; DMG: 1d12; SA: None; SD: None; MR: Standard; LAIR: None; INT: Animal; AL: N; XP: 2,500+35/hp; TRS: None; BOOK: OSRIC-228
ASSAGIM (LEAST DEVIL; NIPHERIBU, ASHASHIMU, NISHERSHIMU)	DG	2	13	Freq: Common; #ENC: 10d10; SIZE: Medium; MOVE: 60 ft; AC: 9; HD: 1; ATK: 2 claws or 1 weapon; DMG: 1d2/1d2 or by weapon type; SA: None; SD: Regenerate 1hp/round; MR: Standard; LAIR: None; INT: Semi-; AL: LE; XP: 18+1/hp; TRS: None; BOOK: OSRIC-221
AURUMVORAX	CFXCPXDGXPF	13	1	Freq: Very Rare; #ENC: 1; SIZE: Small; MOVE: 90 ft, 30 ft burrowing; AC: 0; HD: 12; ATK: 1; DMG: 2d4; SA: See Page; SD: See Page; MR: Standard; LAIR: 25%; INT: Animal; AL: N; XP: 2,250+16/hp; TRS: The aurumvorax does not hoard treasure and places no value on it. However, its lair might contain treasure assigned by the GM; BOOK: OSRIC-261
AXE BEAK (PHORUSRHACID)	PFXPHXPPXPSXTFXTH	4	5	Freq: Uncommon; #ENC: 1d6; SIZE: Large; MOVE: 180 ft; AC: 6; HD: 3; ATK: 3; DMG: 1d3/1d3/2d4; SA: None; SD: None; MR: Standard; LAIR: None; INT: Animal; AL: N; XP: 50+2/hp; TRS: None; BOOK: OSRIC-245
BABAU	DG	9	5	Freq: Uncommon; #ENC: 1d3 or 1d6 (in the Abyss); SIZE: Medium (7 ft tall); MOVE: 150 ft; AC: -3; HD: 7+14; ATK: 2 claws/1 bite or 1 weapon; DMG: 1d4+1/1d4+1/2d4 or by weapon +7; SA: See Page; SD: See Page; MR: 50%; LAIR: 20%; INT: Very; AL: CE; XP: 2,000+12/hp; TRS: If encountered in their lair, babau will have amassed a hoard made up of 1d12x1000 cp (20%), 1d6x1000 sp (30%), 1d4x1000 ep (10%), 1d6 gems (25%) and 1d3 jewelry (20%). In addition, they may (10%) have 1d2 magical items.; BOOK: OSRIC-213
BABBLER	DGXTFXTS	6	1	Freq: Very Rare; #ENC: 1d4; SIZE: Large (8 ft tall); MOVE: 60 ft bipedal, 120 ft quadrupedal gait; AC: 6; HD: 5; ATK: 3; DMG: 1d6/1d6/1d8; SA: See Page; SD: None; MR: Standard; LAIR: 15%; INT: Average; AL: CE; XP: 100+5/hp; TRS: (in lair) 1d12x1,000 cp (20%), 1d6x1,000 sp (35%), 1d6x1,000 ep (10%), 1d6x1,000 gp (40%), 1d4 gems (30%), 1d3 jewelry (25%), one magic item and one potion (10%).; BOOK: OSRIC-262
BABOON	TFXTHXTS	3	13	Freq: Common; #ENC: 10d4; SIZE: Small; MOVE: 120 ft; AC: 7; HD: 1+1; ATK: 1; DMG: 1d4; SA: None; SD: Climbing; MR: Standard; LAIR: 10%; INT: Low; AL: N; XP: 30+1/hp; TRS: None; BOOK: OSRIC-246
BADGER, GIANT	CFXCHXCMXCPXDGXPDXPFXPHXPMXPPXPS	4	1	Freq: Very Rare; #ENC: 1d4+1; SIZE: Medium; MOVE: 60 ft, 30 ft swimming; AC: 4; HD: 3; ATK: 3; DMG: 1d3/1d3/1d6; SA: None; SD: None; MR: Standard; LAIR: 10%; INT: Semi-; AL: N; XP: 50+2/hp; TRS: None; BOOK: OSRIC-246
BADGER, ORDINARY	CFXCHXCMXCPXDGXPDXPFXPHXPMXPPXPS	3	5	Freq: Uncommon; #ENC: 1d4+1; SIZE: Small; MOVE: 60 ft, 30 ft swimming; AC: 4; HD: 1+2; ATK: 3; DMG: 1d2/1d2/1d3; SA: None; SD: None; MR: Standard; LAIR: 10%; INT: Semi-; AL: N; XP: 30+1/hp; TRS: None; BOOK: OSRIC-246
BANDIT (BRIGAND)	CFXCHXCMXCPXDGXPDXPFXPHXPMXPPXPSXTFXTHXTMXTS	0	13	Freq: Common; #ENC: 20d10; SIZE: Medium; MOVE: 120 ft; AC: By armor; HD: 1d6 hp; ATK: 1; DMG: By weapon; SA: Leader types may have spells; SD: None; MR: Standard; LAIR: 20%; INT: Mean (average to very); AL: N; XP: Variable; TRS: Individual 2d4 gp; Lair 1d6x1,000 cp (25%), 1d6x1,000 sp (30%), 1d6x1,000 ep (35%), 1d10x1,000 gp (40%), 1d4x100 pp (25%), 4d10 gems (60%), 3d10 jewelry (50%), 3 magic items (30%).; BOOK: OSRIC-191
BANSHEE (GROANING SPIRIT)	CFXCHXCPXDGXPDXPFXPHXPPXTF	8	1	Freq: Very Rare; #ENC: 1; SIZE: Medium; MOVE: 150 ft; AC: 0; HD: 7; ATK: 1; DMG: 1d8; SA: See Page; SD: +1 weapon or better to hit; MR: 50%; LAIR: 10%; INT: Exceptional; AL: CE; XP: 665+8/hp; TRS: None; BOOK: OSRIC-239
BARBED DEVIL (LESSER DEVIL; HAMATULA, BARBICALE)	DG	9	5	Freq: Uncommon; #ENC: 1d2 or 3d4; SIZE: Medium; MOVE: 120 ft; AC: 0; HD: 8; ATK: 2 claws/1 tail; DMG: 2d4/2d4/3d4; SA: See Page; SD: See Page; MR: 35%; LAIR: 50%; INT: Very; AL: LE; XP: 1,425+10/hp; TRS: Barbed devils do not carry treasure of any sort, nor can they be dissuaded from their tasks through bribery of any kind.; BOOK: OSRIC-221
BARGHEST	CFXCHXCMXCPXDGXPDXPFXPHXPMXPPXPSXTFXTHXTMXTS	8	1	Freq: Very Rare; #ENC: 1d2; SIZE: Medium; MOVE: 150 ft; AC: 2 and lower; HD: 6+6 and higher; ATK: 2; DMG: 2d4 + a variable amount; SA: See Page; SD: See Page; MR: 30% and higher; LAIR: None; INT: High and higher; AL: LE; XP: 1,250+10/hp and higher; TRS: None on the Prime Material Plane.; BOOK: OSRIC-262
BARRACUDA	FWXSW	3	5	Freq: Uncommon; #ENC: 2d6; SIZE: Small to Large; MOVE: 30 ft swimming; AC: 6; HD: 1 to 3; ATK: 1; DMG: 2d4; SA: None; SD: None; MR: Standard; LAIR: None; INT: Non-; AL: N; XP: 10+1/hp to 50+2/hp; TRS: None; BOOK: OSRIC-247
BASILISK	DGXPFXPHXPMXPPXPSXTFXTHXTM	7	3	Freq: Rare; #ENC: 1d4; SIZE: Medium (6 ft+); MOVE: 60 ft; AC: 4; HD: 6; ATK: 1 (antlers + weapon); DMG: 1d10; SA: Petrifying gaze; SD: None; MR: Standard; LAIR: 40%; INT: Animal; AL: N; XP: 1,000+8/hp; TRS: 1d10x1,000 cp (5%), 1d12x1,000 sp (25%), 1d6x1,000 ep (25%), 1d8x1,000 gp (25%), 1d12 gems (15%), 1d8 jewelry (15%), 3 magic items and 1 scroll (10%).; BOOK: OSRIC-262
BAT, GIANT	CFXCHXCMXCPXDGXPFXPHXPMXPPXPSXTFXTHXTMXTS	0	5	Freq: Uncommon; #ENC: 3d6; SIZE: Small; MOVE: 10 ft / 240 ft flying (AA: level V); AC: 4 to 8; HD: 1d4 hp; ATK: 1; DMG: 1d2; SA: Rabies 1%; SD: Missile attacks suffer -3 unless attacker has 13 dexterity or above; MR: Standard; LAIR: 10%; INT: Animal; AL: N; XP: 5+1/hp; TRS: None; BOOK: OSRIC-246
BAT, MOBAT	DGXTFXTHXTM	6	3	Freq: Rare; #ENC: 1d8; SIZE: Medium; MOVE: 30 ft / 150 ft flying (AA: level IV); AC: 2 to 10 (See Page); HD: 4 to 6 (See Page); ATK: 1; DMG: 2d4; SA: See Page; SD: See Page; MR: Standard; LAIR: 15%; INT: Low; AL: N (E); XP: 135+3/hp(4 HD) or 300+6/hp(6 HD); TRS: In lair only: 1d12x1,000 cp (20%); 1d6x1,000 sp (30%); 1d4x1,000 ep (10%); 1d6 gems (25%); 1d3 jewelry (20%); any 2 magic (10%).; BOOK: OSRIC-246
BAT, ORDINARY	CFXCHXCMXCPXDGXPDXPFXPHXPMXPPXPSXTFXTHXTMXTS	0	13	Freq: Common; #ENC: 1d100x10; SIZE: Small; MOVE: 10 ft / 240 ft flying (AA: level V); AC: 4 to 8; HD: 1d2 hp; ATK: 1; DMG: 1; SA: Swarm (cause confusion or put out torches); SD: None; MR: Standard; LAIR: 10%; INT: Animal; AL: N; XP: 1; TRS: None; BOOK: OSRIC-246
BATRACHIAN	DGXFWXPFXPSXTFXTS	2	3	Freq: Rare; #ENC: 10d8; SIZE: Small to Medium; MOVE: 30 ft hop/150 ft swim; AC: 6 or better; HD: 1; ATK: 1; DMG: By weapon; SA: Hop; SD: Camouflage; MR: Standard; LAIR: 20%; INT: Low to average; AL: CE; XP: 18+1/hp; TRS: 2d6 gp per individual, plus if encountered in their lair, a 20% chance of 1d3 pieces of jewelry and a 10% chance of 1d3 magic items.; BOOK: OSRIC-196
BATRACHIAN, ANURAN	DGXFWXPFXPSXTFXTS	2	3	Freq: Rare; #ENC: 10d10; SIZE: Small to Medium; MOVE: 30 ft hop/150 ft swim; AC: 6; HD: 1; ATK: 3; DMG: 1d2/1d2/1d4+1; SA: Hop; SD: Camouflage; MR: Standard; LAIR: 20%; INT: Low; AL: CE; XP: 15+1/hp; TRS: 2d6 gp per individual, plus if encountered in their lair, a 20% chance of 1d3 pieces of jewelry and a 10% chance of 1d3 magic items.; BOOK: OSRIC-196
BATRACHIAN, EFT	DGXFWXPFXPSXTFXTS	0	1	Freq: Very Rare; #ENC: 200% of no. of females; SIZE: Small; MOVE: 150 ft swim; AC: 8; HD: 1d2 hp; ATK: 1; DMG: 1d2; SA: None; SD: None; MR: Standard; LAIR: 100%; INT: Animal; AL: N; XP: 1; TRS: None; BOOK: OSRIC-196
BATRACHIAN, FEMALE	DGXFWXPFXPSXTFXTS	0	3	Freq: Rare; #ENC: 75% of no. of males; SIZE: Small; MOVE: 30 ft hop/150 ft swim; AC: 6; HD: 1d6 hp; ATK: 3; DMG: 1d2/1d2/1d4; SA: Hop; SD: Camouflage; MR: Standard; LAIR: 80%; INT: Low to average; AL: CE; XP: 10+1/hp; TRS: 2d6 gp per individual, plus if encountered in their lair, a 20% chance of 1d3 pieces of jewelry and a 10% chance of 1d3 magic items.; BOOK: OSRIC-196
BEAR, BLACK	CFXCHXCMXPFXPHXPMXPS	5	13	Freq: Common; #ENC: 1d3; SIZE: Medium; MOVE: 120 ft; AC: 7; HD: 3+3; ATK: 3; DMG: 1d3/1d3/1d6; SA: Hug: 2d4; SD: None; MR: Standard; LAIR: 10%; INT: Semi-; AL: N; XP: 75+3/hp; TRS: None; BOOK: OSRIC-247
BEAR, BROWN	CFXCHXCMXPFXPHXPMXPS	7	5	Freq: Uncommon; #ENC: 1d6; SIZE: Large (9 ft); MOVE: 120 ft; AC: 6; HD: 5+5; ATK: 3; DMG: 1d6/1d6/1d8; SA: Hug: 2d6; SD: None; MR: Standard; LAIR: 10%; INT: Semi-; AL: N; XP: 160+6/hp; TRS: None; BOOK: OSRIC-247
BEAR, CAVE	CFXCHXCMXDGXPFXPHXPM	8	5	Freq: Uncommon; #ENC: 1d2; SIZE: Large (12 ft); MOVE: 120 ft; AC: 6; HD: 6+6; ATK: 3; DMG: 1d8/1d8/1d12; SA: Hug: 2d8; SD: None; MR: Standard; LAIR: 10%; INT: Semi-; AL: N; XP: 225+8/hp; TRS: None; BOOK: OSRIC-247
BEAR, POLAR	CFXCHXCMXCPXPFXPHXPMXPP	10	3	Freq: Rare; #ENC: 1d6; SIZE: Large (14 ft); MOVE: 120 ft, 90 ft swim; AC: 6; HD: 8+8; ATK: 3; DMG: 1d10/1d10/2d6; SA: Hug: 3d6; SD: None; MR: Standard; LAIR: None; INT: Semi-; AL: N; XP: 600+12/hp; TRS: None; BOOK: OSRIC-247
BEARDED DEVIL (LESSER DEVIL; BARBAZU, TOTHMYS, THISSUZIM)	DG	8	13	Freq: Common; #ENC: 1d2 or 1d6+4; SIZE: Medium; MOVE: 150 ft; AC: 1; HD: 6+6; ATK: 1 glaive or 2 claws/1 beardburn; DMG: 1d3 plus entangle or 1d2/1d2/1d8; SA: See Page; SD: See Page; MR: 45%; LAIR: 15%; INT: Average; AL: LE; XP: 1,125+10/hp; TRS: None; BOOK: OSRIC-222
BEE, GIANT, BUMBLEBEE	DGXPDXPFXPHXPMXPPXPSXTFXTHXTMXTS	8	3	Freq: Rare; #ENC: 1 (1d6+6 in lair); SIZE: Medium; MOVE: 60 ft, 240 ft flying (AA: level II); AC: 5; HD: 6+4; ATK: 1; DMG: 1d6; SA: Poison; SD: None; MR: Standard; LAIR: 10%; INT: Semi-; AL: N; XP: 300+8/hp; TRS: Giant bee hives or nests will always contain honey worth 10d10 gold pieces. There is a 15% chance that a hive will contain royal jelly. If it does, the royal jelly can be fashioned into 2d3 potions of extra healing by a magic user of 7th or higher level; BOOK: OSRIC-263
BEE, GIANT, SOLDIER HONEYBEE	DGXPFXPHXPMXPPXPSXTFXTHXTMXTS	6	1	Freq: Very Rare; #ENC: 1 (3d6 in lair); SIZE: Medium; MOVE: 120 ft, 300 ft flying (AA: level III); AC: 5; HD: 4+2; ATK: 1; DMG: 1d4; SA: Poison; SD: None; MR: Standard; LAIR: 90%; INT: Semi-; AL: N; XP: 150+5/hp; TRS: Giant bee hives or nests will always contain honey worth 10d10 gold pieces. There is a 15% chance that a hive will contain royal jelly. If it does, the royal jelly can be fashioned into 2d3 potions of extra healing by a magic user of 7th or higher level; BOOK: OSRIC-263
BEE, GIANT, WORKER HONEYBEE	DGXPFXPHXPMXPPXPSXTFXTHXTMXTS	5	3	Freq: Rare; #ENC: 1d10 (20d10 in lair); SIZE: Medium; MOVE: 90 ft, 300 ft flying (AA: level IV); AC: 6; HD: 3+1; ATK: 1; DMG: 1d3; SA: Poison; SD: None; MR: Standard; LAIR: 20%; INT: Semi-; AL: N; XP: 100+4/hp; TRS: Giant bee hives or nests will always contain honey worth 10d10 gold pieces. There is a 15% chance that a hive will contain royal jelly. If it does, the royal jelly can be fashioned into 2d3 potions of extra healing by a magic user of 7th or higher level; BOOK: OSRIC-263
BEETLE, GIANT BOMBARDIER	CFXCHXPFXPHXPSXTFXTHXTS	4	13	Freq: Common; #ENC: 3d4; SIZE: Medium; MOVE: 90 ft; AC: 4; HD: 2+2; ATK: 1; DMG: 2d6; SA: Acid cloud; SD: Firing cloud; MR: Standard; LAIR: None; INT: Non-; AL: N; XP: 65+2/hp; TRS: None; BOOK: OSRIC-263
BEETLE, GIANT BORING	DGXPFXPHXPMXPSXTFXTHXTMXTS	6	13	Freq: Common; #ENC: 3d6; SIZE: Large; MOVE: 60 ft; AC: 3; HD: 5; ATK: 1; DMG: 5d4; SA: None; SD: None; MR: Standard; LAIR: 40%; INT: Non-; AL: N; XP: 110+4/hp; TRS: In Lair: 1d12x1,000 cp (20%); 1d6x1,000 sp (30%); 1d4x1,000 ep (10%); 2d4x100 gp (40%); 1d6x10 pp (50%); 3d8 gems (55%); 1d12 jewelry (45%); 2d4 potions (40%); 1d4 scrolls (50%); Any 2 magic items (10%).; BOOK: OSRIC-263
